job_id,instance,size_class,method,epsilon,time_limit,output_file
Instance_5_2_2_0__CP_WWS_EPS__eps_143,Instances/Tiny/Instance_5_2_2_0.txt,Tiny,cp_wws_eps,143,3600.0,results/raw/Instance_5_2_2_0__CP_WWS_EPS__eps_143.csv
Instance_5_2_2_0__LB_AP_EPS__eps_143,Instances/Tiny/Instance_5_2_2_0.txt,Tiny,lb_ap_eps,143,3600.0,results/raw/Instance_5_2_2_0__LB_AP_EPS__eps_143.csv
Instance_5_2_2_0__DECOMP_EPS__eps_143,Instances/Tiny/Instance_5_2_2_0.txt,Tiny,decomp_eps,143,3600.0,results/raw/Instance_5_2_2_0__DECOMP_EPS__eps_143.csv
Instance_5_2_2_1__CP_WWS_EPS__eps_47,Instances/Tiny/Instance_5_2_2_1.txt,Tiny,cp_wws_eps,47,3600.0,results/raw/Instance_5_2_2_1__CP_WWS_EPS__eps_47.csv
Instance_5_2_2_1__LB_AP_EPS__eps_47,Instances/Tiny/Instance_5_2_2_1.txt,Tiny,lb_ap_eps,47,3600.0,results/raw/Instance_5_2_2_1__LB_AP_EPS__eps_47.csv
Instance_5_2_2_1__DECOMP_EPS__eps_47,Instances/Tiny/Instance_5_2_2_1.txt,Tiny,decomp_eps,47,3600.0,results/raw/Instance_5_2_2_1__DECOMP_EPS__eps_47.csv
Instance_5_2_2_1__CP_WWS_EPS__eps_48,Instances/Tiny/Instance_5_2_2_1.txt,Tiny,cp_wws_eps,48,3600.0,results/raw/Instance_5_2_2_1__CP_WWS_EPS__eps_48.csv
Instance_5_2_2_1__LB_AP_EPS__eps_48,Instances/Tiny/Instance_5_2_2_1.txt,Tiny,lb_ap_eps,48,3600.0,results/raw/Instance_5_2_2_1__LB_AP_EPS__eps_48.csv
Instance_5_2_2_1__DECOMP_EPS__eps_48,Instances/Tiny/Instance_5_2_2_1.txt,Tiny,decomp_eps,48,3600.0,results/raw/Instance_5_2_2_1__DECOMP_EPS__eps_48.csv
Instance_5_2_2_1__CP_WWS_EPS__eps_49,Instances/Tiny/Instance_5_2_2_1.txt,Tiny,cp_wws_eps,49,3600.0,results/raw/Instance_5_2_2_1__CP_WWS_EPS__eps_49.csv
Instance_5_2_2_1__LB_AP_EPS__eps_49,Instances/Tiny/Instance_5_2_2_1.txt,Tiny,lb_ap_eps,49,3600.0,results/raw/Instance_5_2_2_1__LB_AP_EPS__eps_49.csv
Instance_5_2_2_1__DECOMP_EPS__eps_49,Instances/Tiny/Instance_5_2_2_1.txt,Tiny,decomp_eps,49,3600.0,results/raw/Instance_5_2_2_1__DECOMP_EPS__eps_49.csv
Instance_5_2_2_1__CP_WWS_EPS__eps_50,Instances/Tiny/Instance_5_2_2_1.txt,Tiny,cp_wws_eps,50,3600.0,results/raw/Instance_5_2_2_1__CP_WWS_EPS__eps_50.csv
Instance_5_2_2_1__LB_AP_EPS__eps_50,Instances/Tiny/Instance_5_2_2_1.txt,Tiny,lb_ap_eps,50,3600.0,results/raw/Instance_5_2_2_1__LB_AP_EPS__eps_50.csv
Instance_5_2_2_1__DECOMP_EPS__eps_50,Instances/Tiny/Instance_5_2_2_1.txt,Tiny,decomp_eps,50,3600.0,results/raw/Instance_5_2_2_1__DECOMP_EPS__eps_50.csv
Instance_5_2_2_1__CP_WWS_EPS__eps_51,Instances/Tiny/Instance_5_2_2_1.txt,Tiny,cp_wws_eps,51,3600.0,results/raw/Instance_5_2_2_1__CP_WWS_EPS__eps_51.csv
Instance_5_2_2_1__LB_AP_EPS__eps_51,Instances/Tiny/Instance_5_2_2_1.txt,Tiny,lb_ap_eps,51,3600.0,results/raw/Instance_5_2_2_1__LB_AP_EPS__eps_51.csv
Instance_5_2_2_1__DECOMP_EPS__eps_51,Instances/Tiny/Instance_5_2_2_1.txt,Tiny,decomp_eps,51,3600.0,results/raw/Instance_5_2_2_1__DECOMP_EPS__eps_51.csv
Instance_5_2_2_1__CP_WWS_EPS__eps_52,Instances/Tiny/Instance_5_2_2_1.txt,Tiny,cp_wws_eps,52,3600.0,results/raw/Instance_5_2_2_1__CP_WWS_EPS__eps_52.csv
Instance_5_2_2_1__LB_AP_EPS__eps_52,Instances/Tiny/Instance_5_2_2_1.txt,Tiny,lb_ap_eps,52,3600.0,results/raw/Instance_5_2_2_1__LB_AP_EPS__eps_52.csv
Instance_5_2_2_1__DECOMP_EPS__eps_52,Instances/Tiny/Instance_5_2_2_1.txt,Tiny,decomp_eps,52,3600.0,results/raw/Instance_5_2_2_1__DECOMP_EPS__eps_52.csv
Instance_5_2_2_1__CP_WWS_EPS__eps_53,Instances/Tiny/Instance_5_2_2_1.txt,Tiny,cp_wws_eps,53,3600.0,results/raw/Instance_5_2_2_1__CP_WWS_EPS__eps_53.csv
Instance_5_2_2_1__LB_AP_EPS__eps_53,Instances/Tiny/Instance_5_2_2_1.txt,Tiny,lb_ap_eps,53,3600.0,results/raw/Instance_5_2_2_1__LB_AP_EPS__eps_53.csv
Instance_5_2_2_1__DECOMP_EPS__eps_53,Instances/Tiny/Instance_5_2_2_1.txt,Tiny,decomp_eps,53,3600.0,results/raw/Instance_5_2_2_1__DECOMP_EPS__eps_53.csv
Instance_5_2_2_1__CP_WWS_EPS__eps_54,Instances/Tiny/Instance_5_2_2_1.txt,Tiny,cp_wws_eps,54,3600.0,results/raw/Instance_5_2_2_1__CP_WWS_EPS__eps_54.csv
Instance_5_2_2_1__LB_AP_EPS__eps_54,Instances/Tiny/Instance_5_2_2_1.txt,Tiny,lb_ap_eps,54,3600.0,results/raw/Instance_5_2_2_1__LB_AP_EPS__eps_54.csv
